movie_name,movie_date,score,genre,movie_status,ori_lang,budget,revenue,country
Jurassic World Dominion,2022-09-06,69,"Adventure, Action, Science Fiction", Released, English,165000000,1001978080,AU
The Boss Baby: Christmas Bonus,2022-06-12,68,"Animation, Family, Adventure", Released, English,51000000,455134473,US
Shazam!,2019-04-04,70,"Action, Comedy, Fantasy", Released, English,85000000,363563907,AU
El Ãºltimo hombre sobre la Tierra,12-22-2022 ,65,Comedy, Released," Spanish, Castilian",100000000,246367071,CO
All Quiet on the Western Front,10-13-2022 ,78,"Drama, War, History", Released, German,20000000,326479707,AU
Violent Night,2022-01-12,76,"Action, Comedy, Crime, Thriller", Released, English,20000000,76599607,AU
Scream,01-13-2022 ,67,"Horror, Mystery, Thriller", Released, English,24000000,138874789,AU
Scream,01-13-2022 ,67,"Horror, Mystery, Thriller", Released, English,15000000,173046640,AU
Devotion,01-20-2023 ,74,"War, History, Drama", Released, English,90000000,20000000,AU
The Woman King,10-27-2022 ,78,"Action, Drama, History", Released, English,50000000,94374749,AU
Evil Dead Rise,04-20-2023 ,74,"Horror, Thriller", Released, English,132500000,469254456,AU
Perfect Addiction,02-16-2023 ,67,"Drama, Romance, Action", Released, English,79800000,387664308,DE
Project Gemini,2022-06-01,58,"Science Fiction, Horror", Released, English,134000000,308786596,RU
Doctor Strange in the Multiverse of Madness,2022-05-05,74,"Fantasy, Action, Adventure", Released, English,200000000,952224986,AU
There Are No Saints,2022-01-07,53,"Action, Mystery, Thriller", Released, English,136400000,194565354,AU
Avengers: Infinity War,04-25-2018 ,83,"Adventure, Action, Science Fiction", Released, English,300000000,2048359754,AU
Smile,09-23-2022 ,68,"Horror, Mystery, Thriller", Released, English,17000000,216049734,AU
Â¡Que Viva MÃ©xico!,03-23-2023 ,47,Comedy, Released," Spanish, Castilian",100100000,947468746,MX
Detective Knight: Independence,01-20-2023 ,56,"Action, Crime, Thriller", Released, English,134200000,772865924,US
Strange World,11-24-2022 ,65,"Animation, Family, Adventure, Science Fiction", Released, English,135000000,69566884,AU
The Ten Commandments,1958-12-12,78,"Drama, History", Released, English,13500000,85433929,AU
The Ten Commandments,1958-12-12,78,"Drama, History", Released, English,10000000,1051907,AU
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,03-29-2019 ,80,"Action, Animation, Fantasy", Released, Japanese,129000000,645532173,JP
Four's a Crowd,10-28-2022 ,63,Comedy, Released," Spanish, Castilian",110000000,271669046,ES
Minions: The Rise of Gru,2022-04-07,75,"Animation, Comedy, Family", Released, English,80000000,939200081,AU
Creed II,2018-06-12,70,Drama, Released, English,50000000,213591522,AU
Creed,11-26-2015 ,74,Drama, Released, English,37000000,173567581,AU
Beast,08-25-2022 ,68,"Thriller, Action, Horror, Adventure", Released, English,36000000,59103794,AU
Fast X,05-19-2023 ,0,"Action, Crime, Thriller", Post Production, English,340000000,0,US
My Name Is Vendetta,11-30-2022 ,68,"Action, Crime, Thriller", Released, Italian,113000000,365992131,AU
Wrath of Man,04-29-2021 ,77,"Action, Crime, Thriller", Released, English,40000000,103913405,AU
Jeepers Creepers: Reborn,09-22-2022 ,57,"Horror, Thriller, Mystery", Released, English,5000000,5954938,AU
Turning Red,2022-11-03,75,"Animation, Family, Comedy, Fantasy", Released, English,175000000,10964971,AU
Encanto,11-28-2021 ,76,"Animation, Comedy, Family, Fantasy", Released, English,150000000,231120602,AU
Prancer: A Christmas Tale,11-22-2022 ,59,"Family, Fantasy", Released, English,86800000,284184080,US
Magic Mike's Last Dance,2023-09-02,72,"Comedy, Drama, Romance", Released, English,45000000,52000000,AU
"Lyle, Lyle, Crocodile",12-26-2022 ,75,"Comedy, Family, Music", Released, English,50000000,107644101,AU
The Penitent Thief,02-25-2021 ,62,Drama, Released, English,15160689,23800,AU
Hacksaw Ridge,2016-07-10,82,"Drama, History, War", Released, English,40000000,169023926,AU
Venus,2022-02-12,55,"Drama, Horror, Thriller", Released," Spanish, Castilian",6000000,7818479,ES
The Offering,09-23-2022 ,57,Horror, Released, English,103600000,134150173,US
Jujutsu Kaisen 0,03-17-2022 ,82,"Animation, Action, Fantasy", Released, Japanese,21835777,195870885,AU
The Batman,2022-02-03,77,"Crime, Mystery, Thriller", Released, English,200000000,766326717,AU
Life in a Year,11-27-2020 ,83,"Drama, Romance", Released, English,90000000,627851112,US
Super Mario Brothers: Great Mission to Rescue Princess Peach,07-20-1986 ,60,"Animation, Comedy, Fantasy", Released, Japanese,151600000,675230189,JP
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12-26-2005 ,71,"Adventure, Family, Fantasy", Released, English,180000000,745013115,AU
The Exorcism of God,2022-01-07,72,Horror, Released, English,1500000,123516163,AU
Ghosts of the Ozarks,2022-04-02,63,"Western, Horror, Mystery", Released, English,113000000,548624603,US
Kompromat,2022-01-12,65,"Thriller, Drama", Released, French,155140000,302915354,AU
Matadero,2022-09-12,60,Drama, Released," Spanish, Castilian",73800000,346352261,ES
Air,2023-05-04,79,Drama, Released, English,28519271,5000000,AU
Disenchanted,11-18-2022 ,70,"Comedy, Family, Fantasy", Released, English,142600000,524597715,AU
Luck,2022-05-08,79,"Animation, Adventure, Comedy, Fantasy", Released, English,147000000,721203091,AU
Bullet Train,2022-04-08,75,"Action, Comedy, Thriller", Released, English,85900000,238534963,AU
Night at the Museum: Kahmunrah Rises Again,2022-09-12,69,"Animation, Comedy, Family, Fantasy", Released, English,124400000,508761361,US
Blade of the 47 Ronin,10-25-2022 ,67,"Action, Drama, Fantasy, Thriller", Released, English,131000000,431341845,AU
Sing 2,12-26-2021 ,80,"Animation, Family", Released, English,85000000,404655351,AU
Shark Bait,2022-06-06,59,"Horror, Thriller, Action, Adventure", Released, English,106000000,591557010,GB
Shrek,06-21-2001 ,77,"Animation, Comedy, Fantasy, Adventure, Family", Released, English,50000000,491812794,AU
Orgasm Inc: The Story of OneTaste,2022-05-11,64,Documentary, Released, English,77400000,431611098,US
In His Shadow,03-17-2023 ,62,"Drama, Thriller, Crime", Released, French,133000000,407446362,FR
Savage Salvation,2022-02-12,66,Thriller, Released, English,85645,244880855,US
Sisu,01-27-2023 ,74,"War, Action", Released, Finnish,6200000,58748958,FI
"Tango, Tequila and Some Lies",2023-09-03,77,"Comedy, Romance", Released," Spanish, Castilian",105800000,667037175,MX
Hotel Transylvania: Transformania,01-14-2022 ,71,"Animation, Comedy, Family, Fantasy, Adventure", Released, English,116000000,557205138,AU
Operation Fortune: Ruse de Guerre,2023-12-01,67,"Action, Thriller, Comedy", Released, English,50000000,35800000,AU
